[2025-06-01T16:37:08.669+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.722+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.724+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-06-01T16:40:23.948+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:25.591+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:27.194+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:28.758+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:30.370+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:31.998+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:33.600+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:35.221+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:36.878+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:38.541+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:40.136+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:41.804+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:43.430+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:45.078+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:46.734+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:48.386+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:49.993+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:51.567+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:53.183+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:54.732+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:56.347+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:57.972+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:59.614+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:01.212+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:02.854+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:04.473+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:06.114+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:07.740+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:09.419+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:11.033+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:12.645+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:14.271+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:15.907+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:17.482+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:19.059+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:20.653+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:22.256+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:23.852+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:25.476+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:27.090+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:28.683+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:30.309+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:31.921+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:33.546+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:35.154+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:36.773+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
